Name,sample_size,power
"Midpoint of darkest 5 hours (L5, hh:mm)",33,0.3
"Midpoint of darkest 5 hours (L5, hh:mm)",34,0.1
"Midpoint of darkest 5 hours (L5, hh:mm)",35,0.3
"Midpoint of darkest 5 hours (L5, hh:mm)",36,0.3
"Midpoint of darkest 5 hours (L5, hh:mm)",37,0.3
"Midpoint of darkest 5 hours (L5, hh:mm)",38,0
"Midpoint of darkest 5 hours (L5, hh:mm)",39,0.2
"Midpoint of darkest 5 hours (L5, hh:mm)",40,0.2
"Midpoint of darkest 5 hours (L5, hh:mm)",41,0.3
"Midpoint of darkest 5 hours (L5, hh:mm)",42,0.2
"Midpoint of darkest 5 hours (L5, hh:mm)",43,0.3
"Midpoint of darkest 5 hours (L5, hh:mm)",44,0.1
"Midpoint of darkest 5 hours (L5, hh:mm)",45,0.5
"Midpoint of darkest 5 hours (L5, hh:mm)",46,0.5
"Midpoint of darkest 5 hours (L5, hh:mm)",47,0.4
"Midpoint of darkest 5 hours (L5, hh:mm)",48,0.3
"Midpoint of darkest 5 hours (L5, hh:mm)",49,0.3
"Midpoint of darkest 5 hours (L5, hh:mm)",50,0.3
Time above 1000 lx (h),3,1
Time above 1000 lx (h),4,1
Time above 1000 lx (h),5,1
Time above 1000 lx (h),6,1
Time above 1000 lx (h),7,1
Time above 1000 lx (h),8,1
Time above 1000 lx (h),9,1
Time above 1000 lx (h),10,1
Time above 1000 lx (h),11,1
Time above 1000 lx (h),12,1
Time above 1000 lx (h),13,1
Time above 1000 lx (h),14,1
Time above 1000 lx (h),15,1
Time above 1000 lx (h),16,1
Time above 1000 lx (h),17,1
Time above 1000 lx (h),18,1
Time above 1000 lx (h),19,1
Time above 1000 lx (h),20,1
Time above 1000 lx (h),21,1
Time above 1000 lx (h),22,1
Time above 1000 lx (h),23,1
Time above 1000 lx (h),24,1
Time above 1000 lx (h),25,1
Time above 1000 lx (h),26,1
Time above 1000 lx (h),27,1
Time above 1000 lx (h),28,1
Time above 1000 lx (h),29,1
